absolute_course_url,course_name,subject_name
https://www.class-central.com/mooc/5276/coursera-----2---,Разработка корпоративных систем. Часть 2. Строгие методологии разработки,Programming 
https://www.class-central.com/mooc/5500/coursera-android-app-components-intents-activities-and-broadcast-receivers,"Android App Components - Intents, Activities, and Broadcast Receivers",Programming 
https://www.class-central.com/mooc/8477/coursera----python,Основы программирования на Python,Programming 
https://www.class-central.com/mooc/8681/coursera-front-end-javascript-frameworks-angular,Front-End JavaScript Frameworks: Angular,Programming 
https://www.class-central.com/mooc/428/coursera-vlsi-cad-part-i-logic,VLSI CAD Part I: Logic,Programming 
https://www.class-central.com/mooc/4224/coursera-multiplatform-mobile-app-development-with-web-technologies,Multiplatform Mobile App Development with Web Technologies,Programming 
https://www.class-central.com/mooc/4248/coursera-introduction-to-swift-programming,Introduction To Swift Programming,Programming 
https://www.class-central.com/mooc/4286/coursera-python-data-processing-using-python,用Python玩转数据 Data Processing Using Python,Programming 
https://www.class-central.com/mooc/4337/coursera-database-management-essentials,Database Management Essentials,Programming 
https://www.class-central.com/mooc/5599/coursera-windows,Windows可视化程序设计,Programming 
https://www.class-central.com/mooc/5450/coursera-programando-con-java-para-aplicaciones-android,Programando con Java para aplicaciones Android,Programming 
https://www.class-central.com/mooc/4200/coursera-responsive-web-design,Responsive Web Design,Programming 
https://www.class-central.com/mooc/4661/coursera-diseno-de-videojuegos,Diseño de videojuegos,Programming 
https://www.class-central.com/mooc/4356/coursera-responsive-website-tutorial-and-examples,Responsive Website Tutorial and Examples,Programming 
https://www.class-central.com/mooc/4623/coursera-swift-programar-para-ios,Swift: programar para iOS,Programming 
https://www.class-central.com/mooc/5284/coursera-----1---,Разработка корпоративных систем. Часть 1. Модели жизненного цикла,Programming 
https://www.class-central.com/mooc/6294/coursera-c-,C#程序设计,Programming 
https://www.class-central.com/mooc/8682/coursera-front-end-web-ui-frameworks-and-tools-bootstrap-4,Front-End Web UI Frameworks and Tools: Bootstrap 4,Programming 
https://www.class-central.com/mooc/8687/coursera-developing-android-apps-with-app-inventor,Developing Android Apps with App Inventor,Programming 
https://www.class-central.com/mooc/544/coursera-online-games-literature-new-media-and-narrative,"Online Games: Literature, New Media, and Narrative",Programming 
https://www.class-central.com/mooc/2337/coursera-,計算機程式設計,Programming 
https://www.class-central.com/mooc/4198/coursera-,系统平台与计算环境,Programming 
https://www.class-central.com/mooc/4256/coursera-programming-foundations-with-javascript-html-and-css,"Programming Foundations with JavaScript, HTML and CSS",Programming 
https://www.class-central.com/mooc/4275/coursera-introduction-to-game-development,Introduction to Game Development,Programming 
https://www.class-central.com/mooc/4314/coursera-world-design-for-video-games,World Design for Video Games,Programming 
https://www.class-central.com/mooc/4648/coursera-videojuegos-de-que-hablamos,Videojuegos: ¿de qué hablamos?,Programming 
https://www.class-central.com/mooc/4629/coursera-gameplay-en-videojuegos,Gameplay en videojuegos,Programming 
https://www.class-central.com/mooc/5672/coursera-desenvolvimento-agil-com-java-avancado,Desenvolvimento Ágil com Java Avançado,Programming 
https://www.class-central.com/mooc/7010/coursera------,Модели антикризисного жизненного цикла корпоративных систем,Programming 
https://www.class-central.com/mooc/7027/coursera-introduction-to-web-development,Introduction to Web Development,Programming 
https://www.class-central.com/mooc/8683/coursera-multiplatform-mobile-app-development-with-web-technologies-ionic-and-cordova,Multiplatform Mobile App Development with Web Technologies: Ionic and Cordova,Programming 
https://www.class-central.com/mooc/2939/coursera-a-programar-una-introduccion-a-la-programacion,¡A Programar! Una introducción a la programación,Programming 
https://www.class-central.com/mooc/4240/coursera-front-end-web-ui-frameworks-and-tools,Front-End Web UI Frameworks and Tools,Programming 
https://www.class-central.com/mooc/4644/coursera-desarrollo-de-videojuegos-3d-en-unity-una-introduccion,Desarrollo de Videojuegos 3D en Unity: Una Introducción,Programming 
https://www.class-central.com/mooc/4656/coursera-motores-graficos-en-videojuegos-game-engine,Motores gráficos en videojuegos: game engine,Programming 
https://www.class-central.com/mooc/4670/coursera-interfaz-de-usuario-en-ios,Interfaz de usuario en iOS,Programming 
https://www.class-central.com/mooc/4598/coursera-diseno-de-videojuegos-una-introduccion,Diseño de Videojuegos: Una introducción,Programming 
https://www.class-central.com/mooc/7763/coursera-android-app-components-services-local-ipc-and-content-providers,"Android App Components - Services, Local IPC, and Content Providers",Programming 
https://www.class-central.com/mooc/7345/edx-monetize-android-apps-with-business-models,Monetize Android Apps with Business Models,Programming 
https://www.class-central.com/mooc/4328/coursera-introduction-to-meteor-js-development,Introduction to Meteor.js Development  ,Programming 
https://www.class-central.com/mooc/4335/coursera-como-criar-aplicativos-com-multiplas-telas-para-iphone-e-ipad,Como criar aplicativos com múltiplas telas para iPhone e iPad,Programming 
https://www.class-central.com/mooc/8692/coursera-java,Java程序设计,Programming 
https://www.class-central.com/mooc/5592/coursera-running-product-design-sprints,Running Product Design Sprints,Programming 
https://www.class-central.com/mooc/5511/coursera-sql-server,SQL Server数据库技术,Programming 
https://www.class-central.com/mooc/558/edx-agile-development-using-ruby-on-rails-advanced,Agile Development Using Ruby on Rails - Advanced,Programming 
https://www.class-central.com/mooc/4239/coursera-html-css-and-javascript,"HTML, CSS and JavaScript",Programming 
https://www.class-central.com/mooc/8741/edx-web-accessibility-fundamentals,Web Accessibility Fundamentals,Programming 
https://www.class-central.com/mooc/8680/edx-build-web-apis-using-asp-net,Build Web APIs using ASP.NET,Programming 
https://www.class-central.com/mooc/8671/edx-introduction-to-python-absolute-beginner,Introduction to Python: Absolute Beginner,Programming 
https://www.class-central.com/mooc/8667/udacity-asynchronous-javascript-requests,Asynchronous JavaScript Requests,Programming 
https://www.class-central.com/mooc/8689/edx-developing-business-applications-with-power-apps-and-microsoft-flow,Developing Business Applications with Power Apps and Microsoft Flow,Programming 
https://www.class-central.com/mooc/8718/edx-learn-to-program-in-java,Learn to Program in Java,Programming 
https://www.class-central.com/mooc/8770/edx-introduction-to-reactjs,Introduction to ReactJS,Programming 
https://www.class-central.com/mooc/8720/edx-designing-a-technical-solution,Designing a Technical Solution,Programming 
https://www.class-central.com/mooc/8719/edx-building-interactive-prototypes-using-javascript,Building Interactive Prototypes using JavaScript,Programming 
https://www.class-central.com/mooc/8722/edx-building-functional-prototypes-using-node-js,Building Functional Prototypes using Node.js,Programming 
https://www.class-central.com/mooc/8723/edx-object-oriented-programming-in-java,Object Oriented Programming in Java,Programming 
https://www.class-central.com/mooc/1178/coursera-programming-mobile-applications-for-android-handheld-systems-part-1,Programming Mobile Applications for Android Handheld Systems: Part 1,Programming 
https://www.class-central.com/mooc/4235/coursera-agile-planning-for-software-products,Agile Planning for Software Products,Programming 
https://www.class-central.com/mooc/4273/coursera-como-criar-um-aplicativo-para-iphone,Como criar um aplicativo para iPhone,Programming 
